Sourcefile	20230508 152842 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 15:44:11

Start Time	08.05.2023 15:38:14
End Time	08.05.2023 15:42:32


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:38:14

Mass [amu]	Ion Current [A]
19,00	-1,316571e-014
19,03	-8,461719e-015
19,06	-3,397343e-015
19,09	-1,092670e-015
19,13	-2,722957e-015
19,16	-7,107245e-015
19,19	-1,190899e-014
19,22	-1,484498e-014
19,25	-1,487285e-014
19,28	-1,325674e-014
19,31	-1,248670e-014
19,34	-1,366026e-014
19,38	-1,552712e-014
19,41	-1,550269e-014
19,44	-1,194406e-014
19,47	-6,791942e-015
19,50	-4,565744e-015
19,53	-7,719093e-015
19,56	-1,424918e-014
19,59	-1,955098e-014
19,63	-1,980452e-014
19,66	-1,503434e-014
19,69	-1,001031e-014
19,72	-1,000930e-014
19,75	-1,483347e-014
19,78	-1,967217e-014
19,81	-2,105975e-014
19,84	-1,929994e-014
19,88	-1,601306e-014
19,91	-1,132590e-014
19,94	-4,802040e-015
19,97	1,282834e-015
20,00	2,653449e-015
20,03	-1,152727e-015
20,06	-4,933631e-015
20,09	-4,899219e-015
20,13	-3,865922e-015
20,16	-5,877735e-015
20,19	-9,995932e-015
20,22	-1,269226e-014
20,25	-1,294643e-014
20,28	-1,276420e-014
20,31	-1,399041e-014
20,34	-1,619155e-014
20,38	-1,814956e-014
20,41	-1,958657e-014
20,44	-2,032242e-014
20,47	-1,940239e-014
20,50	-1,627539e-014
20,53	-1,205555e-014
20,56	-8,445051e-015
20,59	-6,045370e-015
20,63	-4,674940e-015
20,66	-3,703925e-015
20,69	-2,027592e-015
20,72	2,046475e-016
20,75	9,886995e-016
20,78	-1,686404e-015
20,81	-8,126505e-015
20,84	-1,576434e-014
20,88	-2,050296e-014
20,91	-2,047033e-014
20,94	-1,681203e-014
20,97	-1,200892e-014
21,00	-8,980713e-015
21,03	-8,811902e-015
21,06	-8,928361e-015
21,09	-6,271260e-015
21,13	-1,351454e-015
21,16	2,647875e-015
21,19	3,489495e-015
21,22	1,739153e-015
21,25	-5,046939e-016
21,28	-2,424312e-015
21,31	-4,788309e-015
21,34	-7,545945e-015
21,38	-9,519389e-015
21,41	-1,016107e-014
21,44	-9,633096e-015
21,47	-8,731080e-015
21,50	-9,803400e-015
21,53	-1,457502e-014
21,56	-2,044676e-014
21,59	-2,230219e-014
21,63	-1,792656e-014
21,66	-9,943847e-015
21,69	-3,052521e-015
21,72	3,877679e-016
21,75	1,703372e-015
21,78	2,766574e-015
21,81	3,908624e-015
21,84	5,667445e-015
21,88	8,946887e-015
21,91	1,217314e-014
21,94	1,191986e-014
21,97	7,359713e-015
22,00	1,214716e-015
22,03	-3,612354e-015
22,06	-5,756859e-015
22,09	-5,125301e-015
22,13	-3,355523e-015
22,16	-2,823757e-015
22,19	-4,225998e-015
22,22	-6,456174e-015
22,25	-7,486291e-015
22,28	-5,125644e-015
22,31	4,636905e-017
22,34	3,558518e-015
22,38	1,661811e-015
22,41	-4,604066e-015
22,44	-1,136400e-014
22,47	-1,557557e-014
22,50	-1,594175e-014
22,53	-1,328332e-014
22,56	-1,040353e-014
22,59	-9,157745e-015
22,63	-8,756121e-015
22,66	-8,150265e-015
22,69	-8,102834e-015
22,72	-1,016357e-014
22,75	-1,453113e-014
22,78	-1,933933e-014
22,81	-2,192018e-014
22,84	-2,069157e-014
22,88	-1,588703e-014
22,91	-9,099275e-015
22,94	-3,590602e-015
22,97	-3,836694e-015
23,00	-1,155367e-014
23,03	-2,254964e-014
23,06	-3,010999e-014
23,09	-3,149412e-014
23,13	-2,911660e-014
