Sourcefile	20230508 155818 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 16:03:06

Start Time	08.05.2023 15:58:27
End Time	08.05.2023 16:02:53


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:58:27

Mass [amu]	Ion Current [A]
22,84	-8,685377e-014
22,88	-8,471532e-014
22,91	-8,114193e-014
22,94	-7,883174e-014
22,97	-7,952450e-014
23,00	-8,135917e-014
23,03	-8,133525e-014
23,06	-7,899657e-014
23,09	-7,684286e-014
23,13	-7,773332e-014
23,16	-8,180174e-014
23,19	-8,665314e-014
23,22	-9,148002e-014
23,25	-9,752248e-014
23,28	-1,033106e-013
23,31	-1,048195e-013
23,34	-1,016937e-013
23,38	-9,818217e-014
23,41	-9,704229e-014
23,44	-9,685341e-014
23,47	-9,559532e-014
23,50	-9,390572e-014
23,53	-9,398813e-014
23,56	-9,606528e-014
23,59	-9,770976e-014
23,63	-9,739655e-014
23,66	-9,607994e-014
23,69	-9,437905e-014
23,72	-9,129551e-014
23,75	-8,683870e-014
23,78	-8,353860e-014
23,81	-8,408272e-014
23,84	-8,853651e-014
23,88	-9,498524e-014
23,91	-1,013691e-013
23,94	-1,051900e-013
23,97	-1,044025e-013
24,00	-1,003047e-013
24,03	-9,699907e-014
24,06	-9,713210e-014
24,09	-9,951399e-014
24,13	-1,007189e-013
24,16	-9,839768e-014
24,19	-9,341940e-014
24,22	-8,836132e-014
24,25	-8,441242e-014
24,28	-8,111034e-014
24,31	-7,794015e-014
24,34	-7,552415e-014
24,38	-7,507363e-014
24,41	-7,590850e-014
24,44	-7,574439e-014
24,47	-7,424060e-014
24,50	-7,367915e-014
24,53	-7,555457e-014
24,56	-7,810073e-014
24,59	-7,830463e-014
24,63	-7,598306e-014
24,66	-7,467646e-014
24,69	-7,756349e-014
24,72	-8,385405e-014
24,75	-9,021568e-014
24,78	-9,367305e-014
24,81	-9,350729e-014
24,84	-9,147891e-014
24,88	-8,909349e-014
24,91	-8,590985e-014
24,94	-8,194722e-014
24,97	-7,951203e-014
25,00	-8,072690e-014
25,03	-8,560648e-014
25,06	-9,305815e-014
25,09	-1,001606e-013
25,13	-1,025280e-013
25,16	-9,874676e-014
25,19	-9,176549e-014
25,22	-8,583629e-014
25,25	-8,365182e-014
25,28	-8,497781e-014
25,31	-8,778791e-014
25,34	-9,036435e-014
25,38	-9,182608e-014
25,41	-9,174973e-014
25,44	-8,982167e-014
25,47	-8,667429e-014
25,50	-8,463562e-014
25,53	-8,551874e-014
25,56	-8,829625e-014
25,59	-9,024888e-014
25,63	-8,922173e-014
25,66	-8,493407e-014
25,69	-7,998842e-014
25,72	-7,861844e-014
25,75	-8,209441e-014
25,78	-8,687273e-014
25,81	-8,948052e-014
25,84	-9,067008e-014
25,88	-9,299500e-014
25,91	-9,707317e-014
25,94	-1,010079e-013
25,97	-1,022184e-013
26,00	-9,978936e-014
26,03	-9,463427e-014
26,06	-8,837533e-014
26,09	-8,364614e-014
26,13	-8,280627e-014
26,16	-8,460370e-014
26,19	-8,507947e-014
26,22	-8,191137e-014
26,25	-7,645274e-014
26,28	-7,244651e-014
26,31	-7,278074e-014
26,34	-7,759680e-014
26,38	-8,537267e-014
26,41	-9,415079e-014
26,44	-1,014463e-013
26,47	-1,048544e-013
26,50	-1,035622e-013
26,53	-9,905370e-014
26,56	-9,471641e-014
26,59	-9,332267e-014
